,Tokens,Occurences
3703,wild_,"[('T1.txt', 1)]"
3704,say,"[('T1.txt', 6), ('T2.txt', 7), ('T3.txt', 3), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 15), ('T7.txt', 11), ('T8.txt', 1), ('T9.txt', 9), ('T10.txt', 6)]"
3705,_______________,"[('T5.txt', 2)]"
3706,link,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 4)]"
3707,warrant,"[('T7.txt', 1)]"
3708,freedom,"[('T7.txt', 2)]"
3709,courag,"[('T7.txt', 1)]"
3710,swirl,"[('T3.txt', 1)]"
3711,hand,"[('T1.txt', 3), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 6), ('T10.txt', 3)]"
3712,hitherto,"[('T1.txt', 1), ('T9.txt', 1)]"
3713,hawaii,"[('T7.txt', 1)]"
3714,cv,"[('T6.txt', 1)]"
3715,tentacl,"[('T6.txt', 5)]"
3716,isaac,"[('T1.txt', 2), ('T9.txt', 2)]"
3717,mauer,"[('T1.txt', 1)]"
3718,_the_,"[('T1.txt', 1)]"
3719,rid,"[('T6.txt', 2)]"
3720,centuri,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 1), ('T9.txt', 4)]"
3721,st,"[('T10.txt', 1)]"
3722,jackdaw,"[('T1.txt', 1)]"
3723,basin,"[('T6.txt', 1), ('T7.txt', 3)]"
3724,_limulus_,"[('T7.txt', 1)]"
3725,inexhaust,"[('T7.txt', 1), ('T9.txt', 1)]"
3726,pelomyxa,"[('T6.txt', 1)]"
3727,lafayette_,"[('T8.txt', 1)]"
3728,inde,"[('T1.txt', 1), ('T2.txt', 2), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
3729,tension,"[('T9.txt', 3)]"
3730,comparison,"[('T1.txt', 2), ('T4.txt', 1), ('T9.txt', 1)]"
3731,socket,"[('T8.txt', 1)]"
3732,dewey,"[('T1.txt', 1)]"
3733,past,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 1)]"
3734,penguin,"[('T1.txt', 2)]"
3735,spur,"[('T7.txt', 2)]"
3736,attach,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
3737,_most,"[('T7.txt', 1)]"
3738,shortest,"[('T2.txt', 1), ('T9.txt', 2)]"
3739,dexter,"[('T7.txt', 1), ('T8.txt', 3)]"
3740,someth,"[('T1.txt', 1), ('T5.txt', 3), ('T6.txt', 4), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 6)]"
3741,186,"[('T1.txt', 4), ('T5.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
3742,silent,"[('T6.txt', 1)]"
3743,moreov,"[('T1.txt', 1), ('T4.txt', 1), ('T6.txt', 4), ('T7.txt', 2)]"
3744,telegraph,"[('T2.txt', 1)]"
3745,300,"[('T3.txt', 1), ('T4.txt', 1)]"
3746,aimless,"[('T8.txt', 1)]"
3747,sporozoa,"[('T6.txt', 1)]"
3748,simian,"[('T1.txt', 1)]"
3749,z,"[('T1.txt', 4), ('T7.txt', 1)]"
3750,fanwis,"[('T9.txt', 1)]"
3751,_cretaceous_,"[('T7.txt', 1)]"
3752,appendag,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
3753,feet,"[('T4.txt', 1), ('T5.txt', 3), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
3754,six,"[('T1.txt', 2), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T9.txt', 4)]"
3755,torpedo,"[('T4.txt', 1)]"
3756,hormon,"[('T1.txt', 2), ('T6.txt', 2)]"
3757,oldest,"[('T1.txt', 1), ('T4.txt', 1), ('T7.txt', 3)]"
3758,arid,"[('T7.txt', 1)]"
3759,mile_,"[('T1.txt', 1)]"
3760,sc,"[('T7.txt', 1)]"
3761,trail,"[('T1.txt', 1), ('T7.txt', 1)]"
3762,substratum,"[('T6.txt', 1), ('T7.txt', 1)]"
3763,solv,"[('T1.txt', 1), ('T7.txt', 2)]"
3764,flesh,"[('T8.txt', 2), ('T9.txt', 1)]"
3765,transcrib,"[('T10.txt', 1)]"
3766,start,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 4), ('T9.txt', 1), ('T10.txt', 2)]"
3767,deal,"[('T1.txt', 4), ('T2.txt', 2), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T8.txt', 4), ('T9.txt', 2), ('T10.txt', 1)]"
3768,hot,"[('T1.txt', 1), ('T2.txt', 5), ('T3.txt', 4), ('T4.txt', 4), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
3769,deadli,"[('T6.txt', 1)]"
3770,play,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
3771,plover,"[('T7.txt', 1), ('T8.txt', 1)]"
3772,understood,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 2)]"
3773,mode,"[('T1.txt', 1), ('T6.txt', 2)]"
3774,stave,"[('T6.txt', 1)]"
3775,ascertain,"[('T3.txt', 1)]"
3776,french,"[('T1.txt', 1), ('T9.txt', 1)]"
3777,stood,"[('T8.txt', 1)]"
3778,realiz,"[('T1.txt', 1)]"
3779,littor,"[('T7.txt', 2)]"
3780,dark,"[('T1.txt', 2), ('T2.txt', 8), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 3)]"
3781,grew,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
3782,revolutionari,"[('T1.txt', 1)]"
3783,252,"[('T1.txt', 1)]"
3784,matter,"[('T1.txt', 18), ('T2.txt', 7), ('T3.txt', 1), ('T4.txt', 9), ('T5.txt', 2), ('T6.txt', 17), ('T7.txt', 2), ('T9.txt', 42), ('T10.txt', 12)]"
3785,await,"[('T10.txt', 1)]"
3786,dent,"[('T7.txt', 1)]"
3787,125,"[('T1.txt', 2)]"
3788,curiou,"[('T1.txt', 1)]"
3789,phosphoresc,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
3790,overcrowd,"[('T7.txt', 1)]"
3791,reconstruct,"[('T1.txt', 3)]"
3792,21,"[('T3.txt', 1), ('T4.txt', 2)]"
3793,els,"[('T1.txt', 1), ('T4.txt', 1)]"
3794,yerk,"[('T1.txt', 8), ('T2.txt', 2), ('T4.txt', 1), ('T5.txt', 4), ('T8.txt', 1)]"
3795,invad,"[('T6.txt', 1), ('T7.txt', 3)]"
3796,tuft,"[('T7.txt', 1)]"
3797,exampl,"[('T1.txt', 1), ('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 4)]"
3798,stimul,"[('T6.txt', 5), ('T7.txt', 2), ('T9.txt', 1)]"
3799,eocen,"[('T7.txt', 3)]"
3800,interpos,"[('T8.txt', 1)]"
3801,underneath,"[('T7.txt', 1)]"
3802,aegir,"[('T1.txt', 2), ('T10.txt', 2)]"
3803,trunk,"[('T8.txt', 1)]"
3804,albatross,"[('T1.txt', 1)]"
3805,pin,"[('T1.txt', 1), ('T6.txt', 1)]"
3806,perceptu,"[('T7.txt', 1)]"
3807,look,"[('T1.txt', 7), ('T2.txt', 3), ('T3.txt', 2), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 8), ('T9.txt', 1), ('T10.txt', 1)]"
3808,auror,"[('T2.txt', 1)]"
3809,darwin,"[('T1.txt', 3), ('T6.txt', 1), ('T7.txt', 4), ('T10.txt', 3)]"
3810,enlarg,"[('T6.txt', 2), ('T7.txt', 1)]"
3811,harvard,"[('T1.txt', 3), ('T4.txt', 1)]"
3812,element,"[('T1.txt', 5), ('T2.txt', 13), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 19), ('T10.txt', 1)]"
3813,suck,"[('T7.txt', 1)]"
3814,99712,"[('T10.txt', 1)]"
3815,domest,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 3)]"
3816,88,"[('T5.txt', 1)]"
3817,addit,"[('T1.txt', 2), ('T2.txt', 1), ('T9.txt', 2), ('T10.txt', 6)]"
3818,suprem,"[('T10.txt', 1)]"
3819,ocean,"[('T1.txt', 2), ('T2.txt', 2), ('T3.txt', 3), ('T6.txt', 2), ('T7.txt', 2), ('T10.txt', 2)]"
3820,conif,"[('T7.txt', 4)]"
3821,imit,"[('T1.txt', 1), ('T8.txt', 2)]"
3822,event,"[('T1.txt', 1), ('T5.txt', 3), ('T7.txt', 2), ('T8.txt', 1)]"
3823,district,"[('T1.txt', 1)]"
3824,redistribut,"[('T10.txt', 5)]"
3825,ton,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 3), ('T7.txt', 1), ('T9.txt', 4), ('T10.txt', 2)]"
3826,order,"[('T1.txt', 3), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 5)]"
3827,harvest,"[('T8.txt', 1)]"
3828,seventieth,"[('T9.txt', 1)]"
3829,gear,"[('T6.txt', 1)]"
3830,_life,"[('T7.txt', 1)]"
3831,proof,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
3832,hours_,"[('T1.txt', 1)]"
3833,transcript,"[('T10.txt', 1)]"
3834,flora,"[('T7.txt', 4)]"
3835,imperfectli,"[('T7.txt', 1), ('T9.txt', 1)]"
3836,colli,"[('T8.txt', 1)]"
3837,meanwhil,"[('T9.txt', 1)]"
3838,groan,"[('T6.txt', 1)]"
3839,118,"[('T1.txt', 2)]"
3840,hardwood,"[('T7.txt', 1)]"
3841,artist,"[('T1.txt', 1)]"
3842,7,"[('T1.txt', 2), ('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 4), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
3843,deposit,"[('T6.txt', 2), ('T7.txt', 5), ('T9.txt', 1)]"
3844,straightforward,"[('T5.txt', 1)]"
3845,rearrang,"[('T7.txt', 1)]"
3846,1887,"[('T10.txt', 2)]"
3847,social,"[('T1.txt', 2), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
3848,establish,"[('T6.txt', 6), ('T7.txt', 10), ('T9.txt', 1)]"
3849,snail,"[('T7.txt', 3), ('T8.txt', 6)]"
3850,petrel,"[('T1.txt', 1)]"
3851,requir,"[('T1.txt', 1), ('T2.txt', 4), ('T4.txt', 1), ('T6.txt', 2), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 6)]"
3852,survivor,"[('T7.txt', 1)]"
3853,chalon,"[('T6.txt', 1)]"
3854,miser,"[('T6.txt', 1)]"
3855,record,"[('T5.txt', 3), ('T7.txt', 6), ('T8.txt', 2)]"
3856,claim,"[('T1.txt', 1), ('T3.txt', 1), ('T10.txt', 1)]"
3857,_factors_,"[('T6.txt', 1), ('T7.txt', 1)]"
3858,brownian,"[('T1.txt', 1)]"
3859,inclin,"[('T1.txt', 1), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 1)]"
3860,occur,"[('T2.txt', 2), ('T5.txt', 2), ('T7.txt', 4), ('T10.txt', 3)]"
3861,vulcanit,"[('T9.txt', 1)]"
3862,swift,"[('T7.txt', 1)]"
3863,soddi,"[('T1.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
3864,_essenc,"[('T5.txt', 1)]"
3865,certainti,"[('T7.txt', 1), ('T8.txt', 1)]"
3866,_physiological_,"[('T7.txt', 1)]"
3867,explain,"[('T1.txt', 1), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 6), ('T10.txt', 6)]"
3868,_rhacophorus_,"[('T7.txt', 1)]"
3869,hercul,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
3870,east,"[('T7.txt', 1)]"
3871,wilson,"[('T1.txt', 7), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 6), ('T7.txt', 1)]"
3872,tenant,"[('T7.txt', 2)]"
3873,shield,"[('T6.txt', 1)]"
3874,bark,"[('T8.txt', 1)]"
3875,strain,"[('T9.txt', 1), ('T10.txt', 1)]"
3876,accident,"[('T9.txt', 1)]"
3877,moist,"[('T3.txt', 1), ('T7.txt', 3)]"
3878,basi,"[('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
3879,_they,"[('T9.txt', 1)]"
3880,centenarian,"[('T6.txt', 1)]"
3881,bon,"[('T9.txt', 1)]"
3882,chitin,"[('T7.txt', 1)]"
3883,column,"[('T1.txt', 1)]"
3884,effac,"[('T8.txt', 1)]"
3885,eight,"[('T1.txt', 6), ('T5.txt', 1)]"
3886,unrest,"[('T7.txt', 1)]"
3887,antler,"[('T6.txt', 1), ('T7.txt', 1)]"
3888,toward,"[('T1.txt', 1), ('T2.txt', 4), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 7), ('T6.txt', 2), ('T7.txt', 4), ('T8.txt', 2), ('T10.txt', 2)]"
3889,propound,"[('T6.txt', 1)]"
3890,twentieth,"[('T8.txt', 1)]"
3891,knipe,"[('T1.txt', 3), ('T7.txt', 3)]"
3892,forti,"[('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 2), ('T10.txt', 1)]"
3893,tear,"[('T1.txt', 1), ('T6.txt', 1)]"
3894,text,"[('T5.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
3895,_anguilla,"[('T1.txt', 1)]"
3896,spark,"[('T1.txt', 2), ('T9.txt', 6)]"
3897,brake,"[('T6.txt', 1), ('T10.txt', 2)]"
3898,extravag,"[('T9.txt', 1)]"
3899,constitu,"[('T2.txt', 3), ('T5.txt', 1), ('T9.txt', 1)]"
3900,har,"[('T9.txt', 2)]"
3901,worn,"[('T4.txt', 1)]"
3902,worth,"[('T6.txt', 2), ('T7.txt', 1)]"
3903,price,"[('T5.txt', 1), ('T6.txt', 1)]"
3904,ultramicroscop,"[('T1.txt', 1)]"
3905,roughli,"[('T4.txt', 1)]"
3906,flexibl,"[('T5.txt', 1)]"
3907,saltatori,"[('T6.txt', 1)]"
3908,particular,"[('T2.txt', 2), ('T6.txt', 1), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 3)]"
3909,wish,"[('T5.txt', 1), ('T10.txt', 1)]"
3910,vital,"[('T1.txt', 1), ('T6.txt', 7), ('T7.txt', 6)]"
3911,cent,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
3912,inert,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
3913,novemb,"[('T1.txt', 1), ('T2.txt', 1), ('T9.txt', 1)]"
3914,compil,"[('T5.txt', 1), ('T10.txt', 1)]"
3915,repertori,"[('T7.txt', 1), ('T8.txt', 1)]"
3916,22,"[('T1.txt', 3), ('T4.txt', 1), ('T5.txt', 2)]"
3917,tongu,"[('T1.txt', 1), ('T2.txt', 1), ('T7.txt', 4)]"
3918,struggl,"[('T1.txt', 1), ('T6.txt', 2), ('T7.txt', 3), ('T9.txt', 2), ('T10.txt', 1)]"
3919,dash,"[('T4.txt', 1)]"
3920,fragment,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T8.txt', 1)]"
3921,78,"[('T5.txt', 1)]"
3922,upbuild,"[('T6.txt', 1)]"
3923,rub,"[('T9.txt', 1)]"
3924,monsters_,"[('T7.txt', 1)]"
3925,fashion,"[('T1.txt', 1), ('T6.txt', 2), ('T7.txt', 2)]"
3926,bird,"[('T1.txt', 9), ('T6.txt', 4), ('T7.txt', 52), ('T8.txt', 37)]"
3927,seem,"[('T1.txt', 2), ('T2.txt', 6), ('T3.txt', 2), ('T4.txt', 5), ('T5.txt', 1), ('T6.txt', 9), ('T7.txt', 5), ('T8.txt', 5), ('T9.txt', 6), ('T10.txt', 4)]"
3928,_movement_,"[('T9.txt', 1)]"
3929,rubbl,"[('T10.txt', 1)]"
3930,unveil,"[('T9.txt', 1)]"
3931,271,"[('T1.txt', 2)]"
3932,avail,"[('T8.txt', 1), ('T10.txt', 2)]"
3933,strang,"[('T1.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
3934,stockholm,"[('T1.txt', 1), ('T7.txt', 1)]"
3935,violenc,"[('T6.txt', 1)]"
3936,drink,"[('T8.txt', 1)]"
3937,sooner,"[('T6.txt', 2)]"
3938,destin,"[('T2.txt', 1), ('T7.txt', 1)]"
3939,corrupt,"[('T10.txt', 1)]"
3940,liabil,"[('T10.txt', 3)]"
3941,mail,"[('T7.txt', 1), ('T10.txt', 1)]"
3942,inquir,"[('T6.txt', 2), ('T7.txt', 1), ('T10.txt', 1)]"
3943,command,"[('T1.txt', 1), ('T6.txt', 2)]"
3944,chang,"[('T1.txt', 6), ('T2.txt', 5), ('T3.txt', 2), ('T4.txt', 1), ('T6.txt', 9), ('T7.txt', 13), ('T9.txt', 9), ('T10.txt', 1)]"
3945,b,"[('T5.txt', 1), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 3)]"
3946,envelop,"[('T1.txt', 4), ('T2.txt', 2), ('T3.txt', 1)]"
3947,tropism,"[('T6.txt', 4)]"
3948,psycholog,"[('T1.txt', 1)]"
3949,soil,"[('T3.txt', 1), ('T7.txt', 2), ('T8.txt', 1)]"
3950,multicellular,"[('T6.txt', 6)]"
3951,mani,"[('T1.txt', 15), ('T2.txt', 2), ('T3.txt', 5), ('T4.txt', 3), ('T5.txt', 8), ('T6.txt', 22), ('T7.txt', 42), ('T8.txt', 9), ('T9.txt', 3), ('T10.txt', 2)]"
3952,183,"[('T1.txt', 1)]"
3953,stolen,"[('T9.txt', 1)]"
3954,corpuscl,"[('T6.txt', 3)]"
3955,stamen,"[('T6.txt', 1), ('T7.txt', 1)]"
3956,chase,"[('T6.txt', 1)]"
3957,1832,"[('T1.txt', 1), ('T7.txt', 1)]"
3958,mild,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
3959,weather,"[('T6.txt', 2), ('T7.txt', 5), ('T8.txt', 1), ('T10.txt', 1)]"
3960,goal,"[('T1.txt', 1), ('T10.txt', 1)]"
3961,graze,"[('T1.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
3962,father,"[('T7.txt', 1)]"
3963,bath,"[('T8.txt', 1)]"
3964,way,"[('T1.txt', 19), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 4), ('T5.txt', 16), ('T6.txt', 14), ('T7.txt', 22), ('T8.txt', 9), ('T9.txt', 7), ('T10.txt', 9)]"
3965,transpar,"[('T1.txt', 1), ('T2.txt', 1)]"
3966,bound,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 2)]"
3967,everyon,"[('T6.txt', 1), ('T10.txt', 1)]"
3968,superpos,"[('T9.txt', 1)]"
3969,platypu,"[('T1.txt', 1), ('T7.txt', 2)]"
3970,perman,"[('T1.txt', 1), ('T3.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
3971,coher,"[('T6.txt', 3)]"
3972,take,"[('T1.txt', 6), ('T2.txt', 2), ('T3.txt', 3), ('T4.txt', 2), ('T5.txt', 5), ('T6.txt', 6), ('T7.txt', 4), ('T8.txt', 4), ('T9.txt', 17), ('T10.txt', 3)]"
3973,gentl,"[('T6.txt', 1)]"
3974,helmholtz,"[('T6.txt', 1)]"
3975,frederick,"[('T1.txt', 1), ('T10.txt', 1)]"
3976,ancestry_,"[('T7.txt', 1)]"
3977,left_,"[('T1.txt', 1)]"
3978,evid,"[('T1.txt', 2), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 13), ('T8.txt', 1), ('T9.txt', 4), ('T10.txt', 1)]"
3979,collar,"[('T6.txt', 1), ('T7.txt', 1)]"
3980,_oligocene_,"[('T7.txt', 1)]"
3981,method,"[('T1.txt', 6), ('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 7), ('T7.txt', 12), ('T9.txt', 1), ('T10.txt', 3)]"
3982,residu,"[('T4.txt', 1)]"
3983,seeth,"[('T3.txt', 2)]"
3984,thank,"[('T1.txt', 1)]"
3985,sentenc,"[('T7.txt', 1), ('T10.txt', 2)]"
3986,nitrogen,"[('T6.txt', 2)]"
3987,univers,"[('T1.txt', 32), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 5), ('T5.txt', 14), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 13), ('T10.txt', 10)]"
3988,relat,"[('T1.txt', 3), ('T2.txt', 1), ('T6.txt', 5), ('T7.txt', 8), ('T9.txt', 3)]"
3989,planetesim,"[('T6.txt', 4)]"
3990,prolif,"[('T7.txt', 3)]"
3991,effici,"[('T8.txt', 3)]"
3992,outli,"[('T9.txt', 3)]"
3993,unremit,"[('T9.txt', 1)]"
3994,splash,"[('T4.txt', 1)]"
3995,convict,"[('T1.txt', 1)]"
3996,congest,"[('T7.txt', 1)]"
3997,amphibian,"[('T1.txt', 1), ('T7.txt', 27), ('T8.txt', 1)]"
3998,specifi,"[('T10.txt', 2)]"
3999,star,"[('T1.txt', 48), ('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 37), ('T5.txt', 53), ('T6.txt', 1), ('T9.txt', 5), ('T10.txt', 3)]"
4000,l,"[('T1.txt', 1)]"
4001,sail,"[('T7.txt', 1)]"
4002,donat,"[('T10.txt', 20)]"
4003,fuller,"[('T7.txt', 1)]"
4004,australian,"[('T1.txt', 2)]"
4005,0,"[('T5.txt', 6), ('T10.txt', 1)]"
4006,bulli,"[('T7.txt', 1)]"
4007,musculatur,"[('T7.txt', 1)]"
4008,scour,"[('T6.txt', 1)]"
4009,outward,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1)]"
4010,fall,"[('T1.txt', 3), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 3), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 12), ('T10.txt', 5)]"
4011,intrins,"[('T3.txt', 1)]"
4012,reflector_,"[('T5.txt', 2)]"
4013,prompt,"[('T7.txt', 1)]"
4014,unabl,"[('T8.txt', 1)]"
4015,flew,"[('T10.txt', 1)]"
4016,inner,"[('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
4017,keen,"[('T6.txt', 1)]"
4018,filter,"[('T6.txt', 1)]"
4019,poison,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
4020,hous,"[('T1.txt', 1), ('T9.txt', 2)]"
4021,175,"[('T1.txt', 1)]"
4022,intern,"[('T1.txt', 1), ('T3.txt', 1), ('T6.txt', 5), ('T7.txt', 3), ('T9.txt', 3), ('T10.txt', 2)]"
4023,expos,"[('T4.txt', 1), ('T6.txt', 2), ('T8.txt', 1), ('T9.txt', 1)]"
4024,bloweth,"[('T1.txt', 1)]"
4025,flow,"[('T4.txt', 1), ('T6.txt', 3), ('T9.txt', 15), ('T10.txt', 2)]"
4026,special,"[('T1.txt', 2), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
4027,30,"[('T1.txt', 2), ('T10.txt', 1)]"
4028,gnaw,"[('T8.txt', 3)]"
4029,sedentari,"[('T6.txt', 3)]"
4030,glori,"[('T9.txt', 1)]"
4031,prophesi,"[('T10.txt', 1)]"
4032,figment,"[('T4.txt', 1)]"
4033,ounc,"[('T4.txt', 1)]"
4034,ters,"[('T1.txt', 1)]"
4035,harpi,"[('T1.txt', 1)]"
4036,wherev,"[('T6.txt', 1), ('T9.txt', 1)]"
4037,electro,"[('T9.txt', 4)]"
4038,student,"[('T1.txt', 4), ('T8.txt', 1)]"
4039,lowli,"[('T4.txt', 1), ('T7.txt', 1)]"
4040,partial,"[('T1.txt', 3), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
4041,morrow,"[('T9.txt', 1)]"
4042,bad,"[('T6.txt', 2)]"
4043,destroy,"[('T7.txt', 2), ('T9.txt', 5), ('T10.txt', 4)]"
4044,guess,"[('T1.txt', 2), ('T3.txt', 1), ('T9.txt', 1)]"
4045,rhinocero,"[('T7.txt', 2)]"
4046,obliter,"[('T7.txt', 1)]"
4047,encircl,"[('T4.txt', 1)]"
4048,report,"[('T1.txt', 5), ('T5.txt', 1), ('T6.txt', 3), ('T10.txt', 3)]"
4049,_the,"[('T1.txt', 8), ('T2.txt', 1), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 2), ('T10.txt', 5)]"
4050,swiftli,"[('T7.txt', 1), ('T9.txt', 1)]"
4051,pglaf,"[('T10.txt', 8)]"
4052,carnivor,"[('T7.txt', 2)]"
4053,kindr,"[('T7.txt', 1), ('T8.txt', 1)]"
4054,flagellum,"[('T6.txt', 1)]"
4055,search,"[('T10.txt', 1)]"
4056,sargasso,"[('T1.txt', 1)]"
4057,minimum,"[('T1.txt', 1), ('T2.txt', 1)]"
4058,fin,"[('T7.txt', 3)]"
4059,sole,"[('T7.txt', 2)]"
4060,sunlit,"[('T3.txt', 1)]"
4061,choos,"[('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
4062,distribut,"[('T1.txt', 2), ('T6.txt', 3), ('T7.txt', 3), ('T10.txt', 24)]"
4063,hydatina,"[('T6.txt', 1)]"
4064,chiefli,"[('T5.txt', 2), ('T8.txt', 1)]"
4065,_semnopithecu,"[('T8.txt', 1)]"
4066,fifti,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
4067,spencer,"[('T7.txt', 1)]"
4068,clearli,"[('T1.txt', 1), ('T4.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
4069,manag,"[('T8.txt', 1)]"
4070,cromagnon,"[('T1.txt', 1)]"
4071,roof,"[('T1.txt', 1)]"
4072,sometim,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 5), ('T7.txt', 6), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
4073,gloomi,"[('T9.txt', 1)]"
4074,substanc,"[('T1.txt', 3), ('T2.txt', 9), ('T5.txt', 3), ('T6.txt', 5), ('T7.txt', 1), ('T9.txt', 13), ('T10.txt', 2)]"
4075,mobil,"[('T6.txt', 1), ('T10.txt', 2)]"
4076,immedi,"[('T1.txt', 2), ('T4.txt', 1), ('T10.txt', 2)]"
4077,233,"[('T1.txt', 4)]"
4078,soon,"[('T2.txt', 1), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
4079,explos,"[('T6.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
4080,one,"[('T1.txt', 30), ('T2.txt', 15), ('T3.txt', 6), ('T4.txt', 4), ('T5.txt', 20), ('T6.txt', 46), ('T7.txt', 42), ('T8.txt', 10), ('T9.txt', 47), ('T10.txt', 19)]"
